2025-06-03 14:11:15 utils.py:l226 INFO	Command: /home/haali/miniconda3/envs/test/bin/ppanggolin all --fasta testingDataset/genomes.fasta.list -c8
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0030 | GCF_000026905.1_ASM2690v1_genomic_CDS_0031 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0031 | GCF_000026905.1_ASM2690v1_genomic_CDS_0032 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0032 | GCF_000026905.1_ASM2690v1_genomic_CDS_0033 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0036 | GCF_000026905.1_ASM2690v1_genomic_CDS_0037 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0040 | GCF_000026905.1_ASM2690v1_genomic_CDS_0041 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0052 | GCF_000026905.1_ASM2690v1_genomic_CDS_0053 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0067 | GCF_000026905.1_ASM2690v1_genomic_CDS_0068 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0068 | GCF_000026905.1_ASM2690v1_genomic_CDS_0069 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0069 | GCF_000026905.1_ASM2690v1_genomic_CDS_0070 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0072 | GCF_000026905.1_ASM2690v1_genomic_CDS_0073 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0074 | GCF_000026905.1_ASM2690v1_genomic_CDS_0075 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0076 | GCF_000026905.1_ASM2690v1_genomic_CDS_0077 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0080 | GCF_000026905.1_ASM2690v1_genomic_CDS_0081 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0088 | GCF_000026905.1_ASM2690v1_genomic_CDS_0089 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0091 | GCF_000026905.1_ASM2690v1_genomic_CDS_0092 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0094 | GCF_000026905.1_ASM2690v1_genomic_CDS_0095 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0098 | GCF_000026905.1_ASM2690v1_genomic_CDS_0099 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0101 | GCF_000026905.1_ASM2690v1_genomic_CDS_0102 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0120 | GCF_000026905.1_ASM2690v1_genomic_CDS_0121 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0128 | GCF_000026905.1_ASM2690v1_genomic_CDS_0129 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0130 | GCF_000026905.1_ASM2690v1_genomic_CDS_0131 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0136 | GCF_000026905.1_ASM2690v1_genomic_CDS_0137 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0137 | GCF_000026905.1_ASM2690v1_genomic_CDS_0138 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0143 | GCF_000026905.1_ASM2690v1_genomic_CDS_0144 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0159 | GCF_000026905.1_ASM2690v1_genomic_CDS_0160 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0163 | GCF_000026905.1_ASM2690v1_genomic_CDS_0164 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0172 | GCF_000026905.1_ASM2690v1_genomic_CDS_0173 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0179 | GCF_000026905.1_ASM2690v1_genomic_CDS_0180 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0182 | GCF_000026905.1_ASM2690v1_genomic_CDS_0183 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0185 | GCF_000026905.1_ASM2690v1_genomic_CDS_0186 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0186 | GCF_000026905.1_ASM2690v1_genomic_CDS_0187 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0189 | GCF_000026905.1_ASM2690v1_genomic_CDS_0190 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0200 | GCF_000026905.1_ASM2690v1_genomic_CDS_0201 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0203 | GCF_000026905.1_ASM2690v1_genomic_CDS_0204 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0211 | GCF_000026905.1_ASM2690v1_genomic_CDS_0212 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0213 | GCF_000026905.1_ASM2690v1_genomic_CDS_0214 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0215 | GCF_000026905.1_ASM2690v1_genomic_CDS_0216 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0222 | GCF_000026905.1_ASM2690v1_genomic_CDS_0223 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0223 | GCF_000026905.1_ASM2690v1_genomic_CDS_0224 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0241 | GCF_000026905.1_ASM2690v1_genomic_CDS_0242 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0247 | GCF_000026905.1_ASM2690v1_genomic_CDS_0248 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0249 | GCF_000026905.1_ASM2690v1_genomic_CDS_0250 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0260 | GCF_000026905.1_ASM2690v1_genomic_CDS_0261 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0265 | GCF_000026905.1_ASM2690v1_genomic_CDS_0266 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0266 | GCF_000026905.1_ASM2690v1_genomic_CDS_0267 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0268 | GCF_000026905.1_ASM2690v1_genomic_CDS_0269 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0272 | GCF_000026905.1_ASM2690v1_genomic_CDS_0273 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0274 | GCF_000026905.1_ASM2690v1_genomic_CDS_0275 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0275 | GCF_000026905.1_ASM2690v1_genomic_CDS_0276 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0280 | GCF_000026905.1_ASM2690v1_genomic_CDS_0281 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0283 | GCF_000026905.1_ASM2690v1_genomic_CDS_0284 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0290 | GCF_000026905.1_ASM2690v1_genomic_CDS_0291 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0301 | GCF_000026905.1_ASM2690v1_genomic_CDS_0302 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0302 | GCF_000026905.1_ASM2690v1_genomic_CDS_0303 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0307 | GCF_000026905.1_ASM2690v1_genomic_CDS_0308 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0310 | GCF_000026905.1_ASM2690v1_genomic_CDS_0311 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0312 | GCF_000026905.1_ASM2690v1_genomic_CDS_0313 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0328 | GCF_000026905.1_ASM2690v1_genomic_CDS_0329 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0334 | GCF_000026905.1_ASM2690v1_genomic_CDS_0335 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0336 | GCF_000026905.1_ASM2690v1_genomic_CDS_0337 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0340 | GCF_000026905.1_ASM2690v1_genomic_CDS_0341 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0342 | GCF_000026905.1_ASM2690v1_genomic_CDS_0343 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0344 | GCF_000026905.1_ASM2690v1_genomic_CDS_0345 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0356 | GCF_000026905.1_ASM2690v1_genomic_CDS_0357 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0367 | GCF_000026905.1_ASM2690v1_genomic_CDS_0368 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0370 | GCF_000026905.1_ASM2690v1_genomic_CDS_0371 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0374 | GCF_000026905.1_ASM2690v1_genomic_CDS_0375 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0375 | GCF_000026905.1_ASM2690v1_genomic_CDS_0376 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0376 | GCF_000026905.1_ASM2690v1_genomic_CDS_0377 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0377 | GCF_000026905.1_ASM2690v1_genomic_CDS_0378 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0383 | GCF_000026905.1_ASM2690v1_genomic_CDS_0384 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0396 | GCF_000026905.1_ASM2690v1_genomic_CDS_0397 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0405 | GCF_000026905.1_ASM2690v1_genomic_CDS_0406 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0412 | GCF_000026905.1_ASM2690v1_genomic_CDS_0413 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0414 | GCF_000026905.1_ASM2690v1_genomic_CDS_0415 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0415 | GCF_000026905.1_ASM2690v1_genomic_CDS_0416 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0426 | GCF_000026905.1_ASM2690v1_genomic_CDS_0427 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0427 | GCF_000026905.1_ASM2690v1_genomic_CDS_0428 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0428 | GCF_000026905.1_ASM2690v1_genomic_CDS_0429 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0439 | GCF_000026905.1_ASM2690v1_genomic_CDS_0440 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0440 | GCF_000026905.1_ASM2690v1_genomic_CDS_0441 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0443 | GCF_000026905.1_ASM2690v1_genomic_CDS_0444 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0447 | GCF_000026905.1_ASM2690v1_genomic_CDS_0448 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0458 | GCF_000026905.1_ASM2690v1_genomic_CDS_0459 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0465 | GCF_000026905.1_ASM2690v1_genomic_CDS_0466 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0466 | GCF_000026905.1_ASM2690v1_genomic_CDS_0467 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0472 | GCF_000026905.1_ASM2690v1_genomic_CDS_0473 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0475 | GCF_000026905.1_ASM2690v1_genomic_CDS_0476 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0477 | GCF_000026905.1_ASM2690v1_genomic_CDS_0478 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0480 | GCF_000026905.1_ASM2690v1_genomic_CDS_0481 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0483 | GCF_000026905.1_ASM2690v1_genomic_CDS_0484 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0484 | GCF_000026905.1_ASM2690v1_genomic_CDS_0485 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0487 | GCF_000026905.1_ASM2690v1_genomic_CDS_0488 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0489 | GCF_000026905.1_ASM2690v1_genomic_CDS_0490 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0491 | GCF_000026905.1_ASM2690v1_genomic_CDS_0492 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0493 | GCF_000026905.1_ASM2690v1_genomic_CDS_0494 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0496 | GCF_000026905.1_ASM2690v1_genomic_CDS_0497 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0499 | GCF_000026905.1_ASM2690v1_genomic_CDS_0500 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0503 | GCF_000026905.1_ASM2690v1_genomic_CDS_0504 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0507 | GCF_000026905.1_ASM2690v1_genomic_CDS_0508 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0508 | GCF_000026905.1_ASM2690v1_genomic_CDS_0509 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0514 | GCF_000026905.1_ASM2690v1_genomic_CDS_0515 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0527 | GCF_000026905.1_ASM2690v1_genomic_CDS_0528 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0535 | GCF_000026905.1_ASM2690v1_genomic_CDS_0536 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0546 | GCF_000026905.1_ASM2690v1_genomic_CDS_0547 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0548 | GCF_000026905.1_ASM2690v1_genomic_CDS_0549 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0553 | GCF_000026905.1_ASM2690v1_genomic_CDS_0554 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0558 | GCF_000026905.1_ASM2690v1_genomic_CDS_0559 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0564 | GCF_000026905.1_ASM2690v1_genomic_CDS_0565 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0568 | GCF_000026905.1_ASM2690v1_genomic_CDS_0569 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0573 | GCF_000026905.1_ASM2690v1_genomic_CDS_0574 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0575 | GCF_000026905.1_ASM2690v1_genomic_CDS_0576 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0583 | GCF_000026905.1_ASM2690v1_genomic_CDS_0584 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0587 | GCF_000026905.1_ASM2690v1_genomic_CDS_0588 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0588 | GCF_000026905.1_ASM2690v1_genomic_CDS_0589 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0599 | GCF_000026905.1_ASM2690v1_genomic_CDS_0600 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0609 | GCF_000026905.1_ASM2690v1_genomic_CDS_0610 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0613 | GCF_000026905.1_ASM2690v1_genomic_CDS_0614 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0615 | GCF_000026905.1_ASM2690v1_genomic_CDS_0616 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0616 | GCF_000026905.1_ASM2690v1_genomic_CDS_0617 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0617 | GCF_000026905.1_ASM2690v1_genomic_CDS_0618 has no DNA sequence.
